,Focal depths wrt exit plane (mm),,,,,,,,,,
Distance WRT Exit plane (mm),11.41,15,20,23.91,25,30,45,60,75,90,92.51
44,0.870499395,0.239283814,0.888289727,0.300007332,0.135442377,1.650843946,18.75862257,14.20374947,5.099086194,1.41418775,1.216170035
44.5,0.874096639,0.215830464,0.867368468,0.34475117,0.162946025,1.410164518,18.47188902,14.79124223,5.62306444,1.586170204,1.335600739
45,0.874915425,0.199025001,0.841913248,0.388152094,0.195494369,1.193654685,18.15461786,15.3688189,6.181072097,1.798382689,1.492710535
45.5,0.87262077,0.18831412,0.811981621,0.428600521,0.231314784,1.000527543,17.80740111,15.93045583,6.771450897,2.053676366,1.691129201
46,0.867095299,0.183109782,0.777867767,0.465018806,0.268533213,0.830160746,17.43025522,16.46448674,7.385707284,2.351093593,1.931296015
46.5,0.858349279,0.182804382,0.740231521,0.49695986,0.305534839,0.681847446,17.0246754,16.95780543,8.010388668,2.685225712,2.209526001
47,0.846393081,0.186773252,0.700094117,0.524579542,0.34123031,0.55459992,16.59460226,17.40039688,8.630989089,3.04730462,2.518595712
47.5,0.831096732,0.194365847,0.658669288,0.548454127,0.375112469,0.447045349,16.14539595,17.78784996,9.236060254,3.42777312,2.849857495
48,0.812107073,0.204899771,0.617103237,0.569289388,0.407103319,0.357449208,15.68166348,18.12118595,9.819989645,3.819378686,3.196167904
48.5,0.788916819,0.217683288,0.576259722,0.587640903,0.437301635,0.283857974,15.20593056,18.40542091,10.38390465,4.219651748,3.554525528
49,0.761124931,0.232084539,0.536648161,0.603762614,0.465769499,0.224300966,14.71951572,18.64851331,10.93502238,4.631895663,3.927408104
49.5,0.728777929,0.24763088,0.49848399,0.617611164,0.492425839,0.176955655,14.2247226,18.86068707,11.48452176,5.064170834,4.322119683
50,0.692582868,0.264083499,0.461788568,0.628932097,0.517024091,0.140211108,13.72603058,19.05249466,12.04361933,5.526130182,4.747936604
50.5,0.653839512,0.281429763,0.426455122,0.637341874,0.539160387,0.11264092,13.22881247,19.23072638,12.61822814,6.02434207,5.211652976
51,0.614136729,0.299786866,0.39228943,0.642394318,0.55831139,0.09295772,12.73673085,19.39414054,13.20428857,6.557820125,5.713173408
51.5,0.574999705,0.319270273,0.359079361,0.643691108,0.573943817,0.080013852,12.25034813,19.5327074,13.78691932,7.116148879,6.243413054
52,0.537646395,0.339893089,0.326704341,0.641059734,0.585708421,0.072854924,11.76827685,19.63212382,14.3450364,7.681823422,6.786118642
52.5,0.502881801,0.361520033,0.295228356,0.634711017,0.593625291,0.07078061,11.28960101,19.68121479,14.8595489,8.236140492,7.32320276
53,0.471068506,0.383855373,0.264904989,0.625245864,0.598123851,0.073356476,10.81523316,19.67721672,15.32050622,8.765726154,7.841012387
53.5,0.442139565,0.406445738,0.236085524,0.613473121,0.599885587,0.080345432,10.34722073,19.62586602,15.72951301,9.266509056,8.334443265
54,0.415676681,0.428720269,0.209093011,0.600146459,0.599583517,0.091567496,9.887190396,19.53758504,16.09726866,9.743857417,8.80753222
54.5,0.391083735,0.450103906,0.18413731,0.585779533,0.597680635,0.106734445,9.435730352,19.42345689,16.43894424,10.20982022,9.271152924
55,0.367815088,0.470188185,0.161298688,0.570615717,0.594376357,0.125324492,8.993199073,19.29320922,16.76980827,10.67896672,9.739130267
55.5,0.345557273,0.488868768,0.140555946,0.554706434,0.589670075,0.146549055,8.560828122,19.15444952,17.10149279,11.16366663,10.22360756
56,0.324271316,0.506349145,0.121823224,0.538008963,0.583454247,0.169425143,8.140818455,19.01139786,17.43849651,11.66944298,10.73036273
