,Focal depths wrt exit plane (mm),,,,,,,,,,,,
Distance WRT Exit plane (mm),7.19,10,12.97,15,18.74,20,25,30,45,60,75,90,96.01
41,0.235154814,0.351857921,0.101304856,0.367579383,0.647017814,0.522932979,0.165518025,4.168234528,17.76465243,8.853575827,1.750395152,0.438087813,0.696825652
41.5,0.205703845,0.370770699,0.085868364,0.325675329,0.649928636,0.548712493,0.10589399,3.729075468,17.78075673,9.493992184,2.099595858,0.412743685,0.578097358
42,0.178588815,0.388664466,0.074949191,0.286984487,0.650055959,0.571008285,0.065483366,3.323548591,17.7589857,10.12615319,2.482727405,0.416233448,0.489238456
42.5,0.153232911,0.404707446,0.067857287,0.251182531,0.646832892,0.58987976,0.040359823,2.949152268,17.70005469,10.74978658,2.896694057,0.449055318,0.429088596
43,0.129343228,0.41792423,0.063991721,0.218002066,0.639662621,0.605013538,0.026428337,2.603654154,17.60348382,11.36431915,3.339809177,0.513513508,0.396768987
43.5,0.107007238,0.42742615,0.062869549,0.18734639,0.628206375,0.615995046,0.020201307,2.285791414,17.47048966,11.96917182,3.811375674,0.613196827,0.392233024
44,0.086639401,0.432583912,0.064113613,0.159289459,0.61248682,0.622488737,0.019458418,1.995100395,17.30369301,12.56256072,4.310347015,0.751845494,0.416579077
44.5,0.068803634,0.433095796,0.067414512,0.133996542,0.592813779,0.624289353,0.023439046,1.731238675,17.10448556,13.13939049,4.833598647,0.931885708,0.471952591
45,0.053993873,0.428979961,0.072488427,0.111631692,0.569652179,0.621317599,0.032440268,1.493413249,16.87109566,13.69029043,5.374941575,1.153202036,0.560926843
45.5,0.042466582,0.420543918,0.079048933,0.092294503,0.543543162,0.613647249,0.047043101,1.28023508,16.59960461,14.20354152,5.925883508,1.412816321,0.685571424
46,0.034187109,0.408356899,0.086801344,0.07599205,0.515107063,0.601580672,0.067394341,1.08992722,16.28761582,14.66957292,6.47815833,1.705802473,0.846725998
46.5,0.028894968,0.393209884,0.0954556,0.062633287,0.485070012,0.58571109,0.092877959,0.920620456,15.93797254,15.08560858,7.026767372,2.027066781,1.043908374
47,0.026238893,0.376032732,0.104742683,0.052036488,0.454237278,0.566887022,0.122224869,0.770522242,15.55957766,15.45718571,7.571568097,2.373007558,1.27579863
47.5,0.025905902,0.357760308,0.114418151,0.043947907,0.423386774,0.546049545,0.153865975,0.637936324,15.16424128,15.79495662,8.116116066,2.742076693,1.540788355
